,emotion,image
139,4.0,../input/affectnetsample/train_class/class004/image0015098.jpg
140,1.0,../input/affectnetsample/train_class/class001/image0002692.jpg
141,4.0,../input/affectnetsample/train_class/class004/image0031916.jpg
142,1.0,../input/affectnetsample/train_class/class001/image0004243.jpg
143,1.0,../input/affectnetsample/train_class/class001/image0002902.jpg
144,4.0,../input/affectnetsample/train_class/class004/image0030496.jpg
145,2.0,../input/affectnetsample/train_class/class002/image0001951.jpg
146,8.0,../input/affectnetsample/train_class/class008/image0038093.jpg
147,8.0,../input/affectnetsample/train_class/class008/image0027684.jpg
148,6.0,../input/affectnetsample/train_class/class006/image0040855.jpg
149,3.0,../input/affectnetsample/train_class/class003/image0026945.jpg
150,7.0,../input/affectnetsample/train_class/class007/image0020731.jpg
151,2.0,../input/affectnetsample/train_class/class002/image0007671.jpg
152,3.0,../input/affectnetsample/train_class/class003/image0012561.jpg
153,2.0,../input/affectnetsample/train_class/class002/image0001430.jpg
154,8.0,../input/affectnetsample/train_class/class008/image0030752.jpg
155,7.0,../input/affectnetsample/train_class/class007/image0021469.jpg
156,3.0,../input/affectnetsample/train_class/class003/image0026494.jpg
157,8.0,../input/affectnetsample/train_class/class008/image0013889.jpg
158,7.0,../input/affectnetsample/train_class/class007/image0027688.jpg
159,7.0,../input/affectnetsample/train_class/class007/image0020204.jpg
160,3.0,../input/affectnetsample/train_class/class003/image0021950.jpg
161,3.0,../input/affectnetsample/train_class/class003/image0013625.jpg
162,6.0,../input/affectnetsample/train_class/class006/image0037833.jpg
163,7.0,../input/affectnetsample/train_class/class007/image0013326.jpg
164,1.0,../input/affectnetsample/train_class/class001/image0005062.jpg
165,2.0,../input/affectnetsample/train_class/class002/image0002698.jpg
166,4.0,../input/affectnetsample/train_class/class004/image0033179.jpg
167,2.0,../input/affectnetsample/train_class/class002/image0011451.jpg
168,8.0,../input/affectnetsample/train_class/class008/image0040911.jpg
169,1.0,../input/affectnetsample/train_class/class001/image0012713.jpg
170,5.0,../input/affectnetsample/train_class/class005/image0036273.jpg
171,6.0,../input/affectnetsample/train_class/class006/image0042397.jpg
172,6.0,../input/affectnetsample/train_class/class006/image0039222.jpg
173,2.0,../input/affectnetsample/train_class/class002/image0009954.jpg
174,5.0,../input/affectnetsample/train_class/class005/image0025708.jpg
175,3.0,../input/affectnetsample/train_class/class003/image0028655.jpg
176,7.0,../input/affectnetsample/train_class/class007/image0028175.jpg
177,4.0,../input/affectnetsample/train_class/class004/image0019283.jpg
178,1.0,../input/affectnetsample/train_class/class001/image0003100.jpg
179,2.0,../input/affectnetsample/train_class/class002/image0004327.jpg
180,5.0,../input/affectnetsample/train_class/class005/image0023807.jpg
181,5.0,../input/affectnetsample/train_class/class005/image0035138.jpg
182,6.0,../input/affectnetsample/train_class/class006/image0042046.jpg
183,7.0,../input/affectnetsample/train_class/class007/image0017702.jpg
184,6.0,../input/affectnetsample/train_class/class006/image0042199.jpg
185,3.0,../input/affectnetsample/train_class/class003/image0024596.jpg
186,1.0,../input/affectnetsample/train_class/class001/image0013075.jpg
187,5.0,../input/affectnetsample/train_class/class005/image0036139.jpg
188,2.0,../input/affectnetsample/train_class/class002/image0000342.jpg
189,2.0,../input/affectnetsample/train_class/class002/image0006175.jpg
190,2.0,../input/affectnetsample/train_class/class002/image0006730.jpg
191,5.0,../input/affectnetsample/train_class/class005/image0038298.jpg
192,6.0,../input/affectnetsample/train_class/class006/image0042423.jpg
193,5.0,../input/affectnetsample/train_class/class005/image0032809.jpg
194,6.0,../input/affectnetsample/train_class/class006/image0017425.jpg
195,3.0,../input/affectnetsample/train_class/class003/image0015909.jpg
196,1.0,../input/affectnetsample/train_class/class001/image0014636.jpg
197,2.0,../input/affectnetsample/train_class/class002/image0010978.jpg
198,4.0,../input/affectnetsample/train_class/class004/image0001498.jpg
199,7.0,../input/affectnetsample/train_class/class007/image0018489.jpg
200,1.0,../input/affectnetsample/train_class/class001/image0016179.jpg
201,3.0,../input/affectnetsample/train_class/class003/image0000026.jpg
202,6.0,../input/affectnetsample/train_class/class006/image0035257.jpg
203,2.0,../input/affectnetsample/train_class/class002/image0004439.jpg
204,5.0,../input/affectnetsample/train_class/class005/image0040913.jpg
205,2.0,../input/affectnetsample/train_class/class002/image0008208.jpg
206,3.0,../input/affectnetsample/train_class/class003/image0019079.jpg
207,3.0,../input/affectnetsample/train_class/class003/image0026772.jpg
208,1.0,../input/affectnetsample/train_class/class001/image0011958.jpg
209,8.0,../input/affectnetsample/train_class/class008/image0029872.jpg
210,8.0,../input/affectnetsample/train_class/class008/image0040075.jpg
211,7.0,../input/affectnetsample/train_class/class007/image0010755.jpg
212,4.0,../input/affectnetsample/train_class/class004/image0033870.jpg
213,4.0,../input/affectnetsample/train_class/class004/image0027176.jpg
214,2.0,../input/affectnetsample/train_class/class002/image0008754.jpg
215,5.0,../input/affectnetsample/train_class/class005/image0037872.jpg
216,4.0,../input/affectnetsample/train_class/class004/image0022530.jpg
217,7.0,../input/affectnetsample/train_class/class007/image0029502.jpg
218,4.0,../input/affectnetsample/train_class/class004/image0021640.jpg
219,5.0,../input/affectnetsample/train_class/class005/image0039192.jpg
220,6.0,../input/affectnetsample/train_class/class006/image0026646.jpg
221,5.0,../input/affectnetsample/train_class/class005/image0032978.jpg
222,1.0,../input/affectnetsample/train_class/class001/image0001182.jpg
223,5.0,../input/affectnetsample/train_class/class005/image0031630.jpg
224,4.0,../input/affectnetsample/train_class/class004/image0003012.jpg
225,7.0,../input/affectnetsample/train_class/class007/image0020499.jpg
226,7.0,../input/affectnetsample/train_class/class007/image0030228.jpg
227,6.0,../input/affectnetsample/train_class/class006/image0038272.jpg
228,1.0,../input/affectnetsample/train_class/class001/image0003389.jpg
229,8.0,../input/affectnetsample/train_class/class008/image0037674.jpg
230,3.0,../input/affectnetsample/train_class/class003/image0018595.jpg
231,6.0,../input/affectnetsample/train_class/class006/image0003048.jpg
232,5.0,../input/affectnetsample/train_class/class005/image0040019.jpg
233,8.0,../input/affectnetsample/train_class/class008/image0035825.jpg
234,7.0,../input/affectnetsample/train_class/class007/image0016994.jpg
235,5.0,../input/affectnetsample/train_class/class005/image0033311.jpg
236,1.0,../input/affectnetsample/train_class/class001/image0009354.jpg
237,3.0,../input/affectnetsample/train_class/class003/image0003181.jpg
238,6.0,../input/affectnetsample/train_class/class006/image0023147.jpg
239,4.0,../input/affectnetsample/train_class/class004/image0030870.jpg
240,4.0,../input/affectnetsample/train_class/class004/image0023684.jpg
241,7.0,../input/affectnetsample/train_class/class007/image0003971.jpg
242,2.0,../input/affectnetsample/train_class/class002/image0009569.jpg
243,2.0,../input/affectnetsample/train_class/class002/image0007920.jpg
244,5.0,../input/affectnetsample/train_class/class005/image0033771.jpg
245,8.0,../input/affectnetsample/train_class/class008/image0021209.jpg
246,3.0,../input/affectnetsample/train_class/class003/image0030275.jpg
247,2.0,../input/affectnetsample/train_class/class002/image0011548.jpg
248,8.0,../input/affectnetsample/train_class/class008/image0036852.jpg
249,5.0,../input/affectnetsample/train_class/class005/image0030749.jpg
250,8.0,../input/affectnetsample/train_class/class008/image0037593.jpg
251,4.0,../input/affectnetsample/train_class/class004/image0015893.jpg
252,7.0,../input/affectnetsample/train_class/class007/image0028000.jpg
253,1.0,../input/affectnetsample/train_class/class001/image0014513.jpg
254,8.0,../input/affectnetsample/train_class/class008/image0032996.jpg
255,1.0,../input/affectnetsample/train_class/class001/image0000775.jpg
256,1.0,../input/affectnetsample/train_class/class001/image0003218.jpg
257,4.0,../input/affectnetsample/train_class/class004/image0018632.jpg
258,6.0,../input/affectnetsample/train_class/class006/image0040338.jpg
259,4.0,../input/affectnetsample/train_class/class004/image0018399.jpg
260,3.0,../input/affectnetsample/train_class/class003/image0029796.jpg
261,5.0,../input/affectnetsample/train_class/class005/image0036888.jpg
262,5.0,../input/affectnetsample/train_class/class005/image0035727.jpg
263,3.0,../input/affectnetsample/train_class/class003/image0017020.jpg
264,1.0,../input/affectnetsample/train_class/class001/image0012664.jpg
265,1.0,../input/affectnetsample/train_class/class001/image0000799.jpg
266,1.0,../input/affectnetsample/train_class/class001/image0000632.jpg
267,1.0,../input/affectnetsample/train_class/class001/image0003246.jpg
268,4.0,../input/affectnetsample/train_class/class004/image0033114.jpg
269,1.0,../input/affectnetsample/train_class/class001/image0016435.jpg
270,2.0,../input/affectnetsample/train_class/class002/image0002836.jpg
271,7.0,../input/affectnetsample/train_class/class007/image0029318.jpg
272,5.0,../input/affectnetsample/train_class/class005/image0020186.jpg
273,3.0,../input/affectnetsample/train_class/class003/image0028682.jpg
274,2.0,../input/affectnetsample/train_class/class002/image0009711.jpg
275,6.0,../input/affectnetsample/train_class/class006/image0032481.jpg
276,3.0,../input/affectnetsample/train_class/class003/image0029423.jpg
277,6.0,../input/affectnetsample/train_class/class006/image0038988.jpg
278,2.0,../input/affectnetsample/train_class/class002/image0011069.jpg
279,6.0,../input/affectnetsample/train_class/class006/image0041675.jpg
280,2.0,../input/affectnetsample/train_class/class002/image0003832.jpg
281,1.0,../input/affectnetsample/train_class/class001/image0002770.jpg
282,5.0,../input/affectnetsample/train_class/class005/image0037029.jpg
283,5.0,../input/affectnetsample/train_class/class005/image0033511.jpg
284,7.0,../input/affectnetsample/train_class/class007/image0024089.jpg
285,6.0,../input/affectnetsample/train_class/class006/image0041639.jpg
286,3.0,../input/affectnetsample/train_class/class003/image0018627.jpg
287,7.0,../input/affectnetsample/train_class/class007/image0026732.jpg
288,5.0,../input/affectnetsample/train_class/class005/image0018188.jpg
289,8.0,../input/affectnetsample/train_class/class008/image0039600.jpg
290,3.0,../input/affectnetsample/train_class/class003/image0021644.jpg
291,8.0,../input/affectnetsample/train_class/class008/image0014658.jpg
292,1.0,../input/affectnetsample/train_class/class001/image0016718.jpg
293,1.0,../input/affectnetsample/train_class/class001/image0012233.jpg
294,3.0,../input/affectnetsample/train_class/class003/image0025950.jpg
295,3.0,../input/affectnetsample/train_class/class003/image0014307.jpg
296,1.0,../input/affectnetsample/train_class/class001/image0007740.jpg
297,5.0,../input/affectnetsample/train_class/class005/image0035858.jpg
298,4.0,../input/affectnetsample/train_class/class004/image0032509.jpg
299,5.0,../input/affectnetsample/train_class/class005/image0030613.jpg
300,8.0,../input/affectnetsample/train_class/class008/image0023116.jpg
301,1.0,../input/affectnetsample/train_class/class001/image0015658.jpg
302,2.0,../input/affectnetsample/train_class/class002/image0001364.jpg
303,5.0,../input/affectnetsample/train_class/class005/image0034231.jpg
304,1.0,../input/affectnetsample/train_class/class001/image0013581.jpg
305,2.0,../input/affectnetsample/train_class/class002/image0009640.jpg
306,4.0,../input/affectnetsample/train_class/class004/image0013030.jpg
307,2.0,../input/affectnetsample/train_class/class002/image0006981.jpg
308,4.0,../input/affectnetsample/train_class/class004/image0034200.jpg
309,1.0,../input/affectnetsample/train_class/class001/image0016310.jpg
310,3.0,../input/affectnetsample/train_class/class003/image0000929.jpg
311,5.0,../input/affectnetsample/train_class/class005/image0032459.jpg
312,7.0,../input/affectnetsample/train_class/class007/image0019125.jpg
313,2.0,../input/affectnetsample/train_class/class002/image0005737.jpg
314,7.0,../input/affectnetsample/train_class/class007/image0028332.jpg
315,1.0,../input/affectnetsample/train_class/class001/image0015347.jpg
316,3.0,../input/affectnetsample/train_class/class003/image0016046.jpg
317,2.0,../input/affectnetsample/train_class/class002/image0003830.jpg
318,7.0,../input/affectnetsample/train_class/class007/image0019845.jpg
319,7.0,../input/affectnetsample/train_class/class007/image0025468.jpg
320,6.0,../input/affectnetsample/train_class/class006/image0041972.jpg
321,3.0,../input/affectnetsample/train_class/class003/image0026931.jpg
322,7.0,../input/affectnetsample/train_class/class007/image0017803.jpg
323,8.0,../input/affectnetsample/train_class/class008/image0042533.jpg
324,3.0,../input/affectnetsample/train_class/class003/image0022762.jpg
325,5.0,../input/affectnetsample/train_class/class005/image0031759.jpg
326,7.0,../input/affectnetsample/train_class/class007/image0002106.jpg
327,2.0,../input/affectnetsample/train_class/class002/image0007236.jpg
328,7.0,../input/affectnetsample/train_class/class007/image0014720.jpg
329,5.0,../input/affectnetsample/train_class/class005/image0035976.jpg
330,1.0,../input/affectnetsample/train_class/class001/image0004965.jpg
331,5.0,../input/affectnetsample/train_class/class005/image0035429.jpg
332,2.0,../input/affectnetsample/train_class/class002/image0009067.jpg
333,7.0,../input/affectnetsample/train_class/class007/image0021669.jpg
334,3.0,../input/affectnetsample/train_class/class003/image0028851.jpg
335,5.0,../input/affectnetsample/train_class/class005/image0038993.jpg
336,1.0,../input/affectnetsample/train_class/class001/image0016848.jpg
337,2.0,../input/affectnetsample/train_class/class002/image0010428.jpg
338,7.0,../input/affectnetsample/train_class/class007/image0012119.jpg
339,3.0,../input/affectnetsample/train_class/class003/image0017827.jpg
340,2.0,../input/affectnetsample/train_class/class002/image0000560.jpg
341,7.0,../input/affectnetsample/train_class/class007/image0027509.jpg
342,2.0,../input/affectnetsample/train_class/class002/image0001798.jpg
343,3.0,../input/affectnetsample/train_class/class003/image0018205.jpg
344,6.0,../input/affectnetsample/train_class/class006/image0042302.jpg
345,7.0,../input/affectnetsample/train_class/class007/image0003172.jpg
346,6.0,../input/affectnetsample/train_class/class006/image0024351.jpg
347,5.0,../input/affectnetsample/train_class/class005/image0040235.jpg
348,4.0,../input/affectnetsample/train_class/class004/image0034171.jpg
349,4.0,../input/affectnetsample/train_class/class004/image0032345.jpg
350,1.0,../input/affectnetsample/train_class/class001/image0016344.jpg
351,7.0,../input/affectnetsample/train_class/class007/image0024347.jpg
352,1.0,../input/affectnetsample/train_class/class001/image0010845.jpg
353,5.0,../input/affectnetsample/train_class/class005/image0037700.jpg
354,7.0,../input/affectnetsample/train_class/class007/image0019439.jpg
355,1.0,../input/affectnetsample/train_class/class001/image0014126.jpg
356,1.0,../input/affectnetsample/train_class/class001/image0011795.jpg
357,1.0,../input/affectnetsample/train_class/class001/image0006108.jpg
358,4.0,../input/affectnetsample/train_class/class004/image0029630.jpg
359,8.0,../input/affectnetsample/train_class/class008/image0035764.jpg
360,4.0,../input/affectnetsample/train_class/class004/image0034435.jpg
361,8.0,../input/affectnetsample/train_class/class008/image0036357.jpg
362,1.0,../input/affectnetsample/train_class/class001/image0001805.jpg
363,5.0,../input/affectnetsample/train_class/class005/image0035204.jpg
364,5.0,../input/affectnetsample/train_class/class005/image0038463.jpg
365,6.0,../input/affectnetsample/train_class/class006/image0037387.jpg
366,3.0,../input/affectnetsample/train_class/class003/image0020694.jpg
367,6.0,../input/affectnetsample/train_class/class006/image0033083.jpg
368,3.0,../input/affectnetsample/train_class/class003/image0024328.jpg
369,8.0,../input/affectnetsample/train_class/class008/image0039293.jpg
370,5.0,../input/affectnetsample/train_class/class005/image0037617.jpg
371,5.0,../input/affectnetsample/train_class/class005/image0033193.jpg
372,7.0,../input/affectnetsample/train_class/class007/image0018459.jpg
373,3.0,../input/affectnetsample/train_class/class003/image0013901.jpg
374,8.0,../input/affectnetsample/train_class/class008/image0039425.jpg
375,2.0,../input/affectnetsample/train_class/class002/image0001393.jpg
376,8.0,../input/affectnetsample/train_class/class008/image0036199.jpg
377,8.0,../input/affectnetsample/train_class/class008/image0033481.jpg
378,1.0,../input/affectnetsample/train_class/class001/image0012600.jpg
379,1.0,../input/affectnetsample/train_class/class001/image0010823.jpg
380,3.0,../input/affectnetsample/train_class/class003/image0026282.jpg
381,3.0,../input/affectnetsample/train_class/class003/image0030356.jpg
382,5.0,../input/affectnetsample/train_class/class005/image0032141.jpg
383,2.0,../input/affectnetsample/train_class/class002/image0002493.jpg
384,2.0,../input/affectnetsample/train_class/class002/image0009623.jpg
385,1.0,../input/affectnetsample/train_class/class001/image0015645.jpg
386,5.0,../input/affectnetsample/train_class/class005/image0037316.jpg
387,6.0,../input/affectnetsample/train_class/class006/image0042381.jpg
388,7.0,../input/affectnetsample/train_class/class007/image0015928.jpg
389,3.0,../input/affectnetsample/train_class/class003/image0022076.jpg
390,1.0,../input/affectnetsample/train_class/class001/image0016678.jpg
391,7.0,../input/affectnetsample/train_class/class007/image0024113.jpg
392,8.0,../input/affectnetsample/train_class/class008/image0036851.jpg
393,3.0,../input/affectnetsample/train_class/class003/image0020660.jpg
394,7.0,../input/affectnetsample/train_class/class007/image0007049.jpg
395,3.0,../input/affectnetsample/train_class/class003/image0001266.jpg
396,5.0,../input/affectnetsample/train_class/class005/image0017602.jpg
397,4.0,../input/affectnetsample/train_class/class004/image0025461.jpg
398,7.0,../input/affectnetsample/train_class/class007/image0027563.jpg
399,1.0,../input/affectnetsample/train_class/class001/image0011334.jpg
400,5.0,../input/affectnetsample/train_class/class005/image0032464.jpg
401,3.0,../input/affectnetsample/train_class/class003/image0018385.jpg
402,8.0,../input/affectnetsample/train_class/class008/image0037572.jpg
403,7.0,../input/affectnetsample/train_class/class007/image0029818.jpg
404,1.0,../input/affectnetsample/train_class/class001/image0012819.jpg
405,8.0,../input/affectnetsample/train_class/class008/image0036563.jpg
406,1.0,../input/affectnetsample/train_class/class001/image0006248.jpg
407,6.0,../input/affectnetsample/train_class/class006/image0036030.jpg
408,1.0,../input/affectnetsample/train_class/class001/image0009374.jpg
409,7.0,../input/affectnetsample/train_class/class007/image0030534.jpg
410,2.0,../input/affectnetsample/train_class/class002/image0005813.jpg
411,4.0,../input/affectnetsample/train_class/class004/image0029794.jpg
412,7.0,../input/affectnetsample/train_class/class007/image0028203.jpg
413,1.0,../input/affectnetsample/train_class/class001/image0012786.jpg
414,5.0,../input/affectnetsample/train_class/class005/image0025405.jpg
415,7.0,../input/affectnetsample/train_class/class007/image0030204.jpg
416,4.0,../input/affectnetsample/train_class/class004/image0026130.jpg
417,6.0,../input/affectnetsample/train_class/class006/image0035188.jpg
418,1.0,../input/affectnetsample/train_class/class001/image0009325.jpg
419,7.0,../input/affectnetsample/train_class/class007/image0020017.jpg
420,8.0,../input/affectnetsample/train_class/class008/image0033622.jpg
421,5.0,../input/affectnetsample/train_class/class005/image0040543.jpg
422,3.0,../input/affectnetsample/train_class/class003/image0023210.jpg
423,1.0,../input/affectnetsample/train_class/class001/image0013862.jpg
424,4.0,../input/affectnetsample/train_class/class004/image0025149.jpg
425,1.0,../input/affectnetsample/train_class/class001/image0013712.jpg
426,1.0,../input/affectnetsample/train_class/class001/image0003938.jpg
427,6.0,../input/affectnetsample/train_class/class006/image0035934.jpg
428,8.0,../input/affectnetsample/train_class/class008/image0028378.jpg
429,2.0,../input/affectnetsample/train_class/class002/image0003505.jpg
430,4.0,../input/affectnetsample/train_class/class004/image0024510.jpg
431,6.0,../input/affectnetsample/train_class/class006/image0018011.jpg
432,5.0,../input/affectnetsample/train_class/class005/image0039135.jpg
433,1.0,../input/affectnetsample/train_class/class001/image0012595.jpg
434,5.0,../input/affectnetsample/train_class/class005/image0034120.jpg
435,1.0,../input/affectnetsample/train_class/class001/image0013894.jpg
436,7.0,../input/affectnetsample/train_class/class007/image0024878.jpg
